Date,CO,SO2,O3,AQI,latitude,longitude
17-04-2024,16.31,8.73,15.39,,12.972149,79.162533
17-04-2024,9.46,11.63,13.61,226,12.972149,79.162533
17-04-2024,8.68,8.1,18.69,276,12.972149,79.162533
17-04-2024,7.14,7.92,19.03,209,12.972149,79.162533
17-04-2024,6.82,11.58,20.59,179,12.972149,79.162533
17-04-2024,8.43,11.63,28.09,197,12.972149,79.162533
17-04-2024,7.14,5.85,59.38,229,12.972149,79.162533
17-04-2024,6.61,8.82,42.9,170,12.972149,79.162533
17-04-2024,6.5,9.2,39.02,164,12.972149,79.162533
17-04-2024,7.68,8.28,43.35,195,12.972149,79.162533
17-04-2024,8.45,12.59,44.55,220,12.972149,79.162533
17-04-2024,,,,,12.972149,79.162533
17-04-2024,9.95,9.51,12.46,,12.972149,79.162533
17-04-2024,9.21,5.98,7.69,217,12.972149,79.162533
17-04-2024,10.61,3.69,4.74,254,12.972149,79.162533
17-04-2024,9.26,7.72,7.71,241,12.972149,79.162533
17-04-2024,8.69,4.83,11.53,244,12.972149,79.162533
17-04-2024,9.05,7.47,15.95,243,12.972149,79.162533
17-04-2024,11.26,9.6,20.38,244,12.972149,79.162533
17-04-2024,16.31,13.73,30.05,327,12.972149,79.162533
17-04-2024,10.33,10.96,29.36,390,12.972149,79.162533
17-04-2024,8.85,15.63,28.45,231,12.972149,79.162533
17-04-2024,17.96,15.44,31.49,396,12.972149,79.162533
17-04-2024,33.31,27.32,24.85,731,12.972149,79.162533
17-04-2024,11.14,25.59,15.17,466,12.972149,79.162533
17-04-2024,7.83,6.98,23.17,230,12.972149,79.162533
17-04-2024,20.16,32.74,20.91,309,12.972149,79.162533
17-04-2024,15.83,19.37,23.12,519,12.972149,79.162533
17-04-2024,18.21,31.75,29.97,397,12.972149,79.162533
17-04-2024,27.14,24.88,23.51,517,12.972149,79.162533
17-04-2024,15.9,26.35,31.96,653,12.972149,79.162533
17-04-2024,5.42,79.47,24.89,355,12.972149,79.162533
17-04-2024,5.19,25.44,6.25,227,12.972149,79.162533
17-04-2024,10.38,30.06,27.34,316,12.972149,79.162533
17-04-2024,20.2,21.89,17.41,536,12.972149,79.162533
17-04-2024,18.12,17.89,26.02,370,12.972149,79.162533
17-04-2024,17.03,22.59,19.56,551,12.972149,79.162533
17-04-2024,17.72,26.09,30.19,393,12.972149,79.162533
17-04-2024,20.61,24.66,95.94,671,12.972149,79.162533
17-04-2024,52.33,39.15,112.01,969,12.972149,79.162533
17-04-2024,15.49,34.03,53.98,471,12.972149,79.162533
17-04-2024,23.03,94.3,5.36,529,12.972149,79.162533
17-04-2024,12.92,42.08,72.86,,12.972149,79.162533
17-04-2024,4.79,34.4,24.76,213,12.972149,79.162533
17-04-2024,10.58,44.91,35.56,297,12.972149,79.162533
17-04-2024,32.27,27.73,23.95,605,12.972149,79.162533
17-04-2024,34.64,46.09,26.43,691,12.972149,79.162533
17-04-2024,145.32,20.47,38,971,12.972149,79.162533
17-04-2024,38.09,22.94,30.19,,12.972149,79.162533
17-04-2024,5.42,44.92,43.04,270,12.972149,79.162533
17-04-2024,1.89,37.31,66.58,188,12.972149,79.162533
17-04-2024,2.31,19.08,42.43,114,12.972149,79.162533
17-04-2024,1.22,13.73,61.56,143,12.972149,79.162533
17-04-2024,,,,,12.972149,79.162533
17-04-2024,75.42,13.78,60.66,,12.972149,79.162533
17-04-2024,33.06,21.24,131.12,557,12.972149,79.162533
17-04-2024,57.37,22.18,,,12.972149,79.162533
17-04-2024,28.41,50.33,,536,12.972149,79.162533
17-04-2024,39.61,40.78,27.9,354,12.972149,79.162533
17-04-2024,9.39,29.18,33.21,381,12.972149,79.162533
17-04-2024,6.74,26.94,47.33,355,12.972149,79.162533
17-04-2024,11.69,1.38,36.04,,12.972149,79.162533
17-04-2024,9.81,1.61,39.26,272,12.972149,79.162533
17-04-2024,10.45,1.7,28.05,253,12.972149,79.162533
17-04-2024,10.41,1.6,23.76,256,12.972149,79.162533
17-04-2024,9.39,1.57,16.42,257,12.972149,79.162533
17-04-2024,9.04,1.6,14.27,213,12.972149,79.162533
17-04-2024,8.36,1.63,19.44,218,12.972149,79.162533
17-04-2024,8.68,1.69,15.16,214,12.972149,79.162533
17-04-2024,8.11,1.42,18.46,207,12.972149,79.162533
17-04-2024,7.38,1.44,15.33,169,12.972149,79.162533
17-04-2024,7.5,1.53,17,,12.972149,79.162533
17-04-2024,7.3,1.8,24,,12.972149,79.162533
17-04-2024,7.05,1.4,15,,12.972149,79.162533
17-04-2024,6.7,0.9,27,,12.972149,79.162533
17-04-2024,7.7,1.32,21.64,,12.972149,79.162533
17-04-2024,,,,,12.972149,79.162533
17-04-2024,24.46,14.6,82.14,,12.972149,79.162533
17-04-2024,46.51,23.13,,1842,12.972149,79.162533
17-04-2024,0.98,19.01,,72,12.972149,79.162533
17-04-2024,4.09,17.01,,91,12.972149,79.162533
17-04-2024,6.02,14.17,,124,12.972149,79.162533
17-04-2024,4.92,14.66,,145,12.972149,79.162533
17-04-2024,100.77,15.75,,499,12.972149,79.162533
17-04-2024,1.67,15.47,,557,12.972149,79.162533
17-04-2024,1.94,14.26,,114,12.972149,79.162533
17-04-2024,2.57,17.02,,148,12.972149,79.162533
17-04-2024,1.64,15.8,,99,12.972149,79.162533
17-04-2024,6.67,15.07,,117,12.972149,79.162533
17-04-2024,8.85,15.37,,275,12.972149,79.162533
17-04-2024,3.87,15,6.9,183,12.972149,79.162533
17-04-2024,18.76,16.78,11.46,336,12.972149,79.162533
17-04-2024,26.51,13.74,4.91,468,12.972149,79.162533
17-04-2024,86.72,14.31,4.77,776,12.972149,79.162533
17-04-2024,84.21,15.67,4.26,805,12.972149,79.162533
17-04-2024,72.58,14.63,4.33,705,12.972149,79.162533
17-04-2024,79.53,14.95,4.81,740,12.972149,79.162533
17-04-2024,83.72,15.31,3.68,751,12.972149,79.162533
17-04-2024,89.85,14.18,4.91,798,12.972149,79.162533
17-04-2024,10.63,13.06,6.21,494,12.972149,79.162533
17-04-2024,5.06,19.54,6.16,234,12.972149,79.162533
17-04-2024,,,,,12.972149,79.162533
17-04-2024,2.77,15.37,0.61,,12.972149,79.162533
17-04-2024,9.72,13.18,1.4,327,12.972149,79.162533
17-04-2024,6.96,14.75,3.47,257,12.972149,79.162533
17-04-2024,10.41,15.01,4.9,300,12.972149,79.162533
17-04-2024,12.59,14.26,5.87,309,12.972149,79.162533
17-04-2024,13.53,14.56,9.6,316,12.972149,79.162533
17-04-2024,8.64,15.3,13.19,296,12.972149,79.162533
17-04-2024,8.14,14.51,12.45,240,12.972149,79.162533
17-04-2024,8.38,16.6,11.84,220,12.972149,79.162533
17-04-2024,15.47,14.21,10.05,460,12.972149,79.162533
17-04-2024,7.66,16.13,9.81,341,12.972149,79.162533
17-04-2024,6.39,16.15,13.7,216,12.972149,79.162533
17-04-2024,6.08,12.29,13.13,174,12.972149,79.162533
17-04-2024,12,16.32,5.48,252,12.972149,79.162533
17-04-2024,10.91,16.16,5.98,283,12.972149,79.162533
17-04-2024,8.82,24.81,8.68,282,12.972149,79.162533
17-04-2024,7.42,12.24,5,189,12.972149,79.162533
17-04-2024,8.91,21.48,12.97,204,12.972149,79.162533
17-04-2024,9.15,17.68,8.36,207,12.972149,79.162533
17-04-2024,10.05,16.66,8.61,218,12.972149,79.162533
17-04-2024,10.51,21.2,19.87,243,12.972149,79.162533
17-04-2024,9.72,17.27,10.35,219,12.972149,79.162533
17-04-2024,10.79,19.62,9.14,247,12.972149,79.162533
17-04-2024,10.08,17.77,15.97,235,12.972149,79.162533
17-04-2024,10.47,17.62,11.2,234,12.972149,79.162533
17-04-2024,9.36,17.58,15.72,217,12.972149,79.162533
17-04-2024,9.63,16.95,18.89,222,12.972149,79.162533
17-04-2024,9.38,16.72,14.63,241,12.972149,79.162533
17-04-2024,9.59,17.76,14.99,225,12.972149,79.162533
17-04-2024,10.14,17.93,13.9,241,12.972149,79.162533
17-04-2024,10.17,18.76,13.79,237,12.972149,79.162533
17-04-2024,10.7,16.32,14.67,251,12.972149,79.162533
17-04-2024,9.91,19.29,18.16,220,12.972149,79.162533
17-04-2024,9.75,19.07,15.42,221,12.972149,79.162533
17-04-2024,9.5,16.87,14.27,226,12.972149,79.162533
17-04-2024,7.3,15.49,19,208,12.972149,79.162533
17-04-2024,9.52,14.48,21.74,190,12.972149,79.162533
17-04-2024,10.07,18.22,22.56,250,12.972149,79.162533
17-04-2024,11.17,17.75,21.14,280,12.972149,79.162533
17-04-2024,13.68,18.36,20.81,306,12.972149,79.162533
17-04-2024,10.01,18.85,24.79,249,12.972149,79.162533
17-04-2024,9.75,15.82,26.39,213,12.972149,79.162533
17-04-2024,,,,135,12.972149,79.162533
17-04-2024,,,,,12.972149,79.162533
17-04-2024,,,,,12.972149,79.162533
17-04-2024,10.17,14.36,14.84,,12.972149,79.162533
17-04-2024,12.67,16.95,11.63,268,12.972149,79.162533
17-04-2024,11.31,19.61,15.38,267,12.972149,79.162533
17-04-2024,9.8,19.37,17.5,216,12.972149,79.162533
17-04-2024,9.66,18.59,17.44,212,12.972149,79.162533
17-04-2024,9.82,18.28,17.65,214,12.972149,79.162533
17-04-2024,9.5,15.28,16.47,222,12.972149,79.162533
17-04-2024,10.63,17.44,17.34,216,12.972149,79.162533
17-04-2024,10.36,17.85,20.24,236,12.972149,79.162533
17-04-2024,10.2,18.46,16.83,225,12.972149,79.162533
17-04-2024,12.02,17.38,12.94,231,12.972149,79.162533
17-04-2024,10.75,18.03,22.44,298,12.972149,79.162533
17-04-2024,11.23,17.61,41.28,267,12.972149,79.162533
17-04-2024,,,,236,12.972149,79.162533
17-04-2024,16.49,18.79,6.38,,12.972149,79.162533
17-04-2024,14.78,19.31,6,301,12.972149,79.162533
17-04-2024,14.48,7.63,20.62,311,12.972149,79.162533
17-04-2024,13.2,6.74,26.4,313,12.972149,79.162533
17-04-2024,11.74,9.97,20.38,267,12.972149,79.162533
17-04-2024,11.25,12.49,20.13,232,12.972149,79.162533
17-04-2024,10.91,13.29,22.39,229,12.972149,79.162533
17-04-2024,11.07,9.61,24.3,227,12.972149,79.162533
17-04-2024,11.09,18.51,18.52,236,12.972149,79.162533
17-04-2024,10.27,66.98,37.01,326,12.972149,79.162533
17-04-2024,16.66,61.24,33.7,395,12.972149,79.162533
17-04-2024,20.67,49.8,29.53,507,12.972149,79.162533
17-04-2024,18.56,15.83,31.21,423,12.972149,79.162533
17-04-2024,10.15,18.17,29.43,315,12.972149,79.162533
17-04-2024,7.8,19.72,30.68,213,12.972149,79.162533
17-04-2024,12.23,26.31,37.64,263,12.972149,79.162533
17-04-2024,9.38,30.72,36.65,355,12.972149,79.162533
18-04-2024,9.03,26.45,33.14,362,12.972149,79.162533
18-04-2024,6.95,28.44,41.7,236,12.972149,79.162533
18-04-2024,7.04,40,40.57,192,12.972149,79.162533
18-04-2024,7.31,28.08,32.65,230,12.972149,79.162533
18-04-2024,11.05,60.04,33.06,278,12.972149,79.162533
18-04-2024,18.84,24.52,31.59,390,12.972149,79.162533
18-04-2024,19.66,46.6,33.34,509,12.972149,79.162533
18-04-2024,29.49,49.33,15.74,472,12.972149,79.162533
18-04-2024,26.06,23.81,41,457,12.972149,79.162533
18-04-2024,16.39,33.31,41.24,721,12.972149,79.162533
18-04-2024,12.95,19.34,50.18,420,12.972149,79.162533
18-04-2024,11.74,16.14,47.43,417,12.972149,79.162533
18-04-2024,10.97,16.78,56.43,390,12.972149,79.162533
18-04-2024,7.51,66.19,35,361,12.972149,79.162533
18-04-2024,24.81,67.31,33.84,550,12.972149,79.162533
18-04-2024,16.58,104.29,44.5,538,12.972149,79.162533
18-04-2024,17.91,101.88,77.28,498,12.972149,79.162533
18-04-2024,36.74,90.76,52.82,517,12.972149,79.162533
18-04-2024,42.99,106.41,27.74,901,12.972149,79.162533
18-04-2024,62.88,127.84,55.03,929,12.972149,79.162533
18-04-2024,38.8,131.99,42.9,850,12.972149,79.162533
18-04-2024,48.64,111.22,62.31,669,12.972149,79.162533
18-04-2024,51.7,113.03,58.29,1141,12.972149,79.162533
18-04-2024,47.15,130.27,67.89,707,12.972149,79.162533
18-04-2024,98.33,110.08,48.07,1577,12.972149,79.162533
18-04-2024,118.02,160.06,37.21,1747,12.972149,79.162533
18-04-2024,45.88,113.64,36.02,1065,12.972149,79.162533
